Instructor,Course,Term,Enroll,Evals_Made,Rcmnd_Class,Rcmnd_Instr,Study_Hrs_wk,Avg_Grade_Expected,Avg_Grade_Received
"Shacham, Hovav",CSE 127 - Intro/Computer Security (A),WI08,3,5,100.00%,100.00%,10.5,B (3.00),N/A
"Asbeck, Peter Michael",ECE 139 - SemicndctorDeviceModelng/Desgn (A),SP08,3,3,100.00%,100.00%,7.17,A (4.00),N/A
"LIU, ZHAOWEI",ECE 185 - Lasers and Modulators (A),SP09,3,3,100.00%,100.00%,3.83,B (3.00),N/A
"Wang, Wei",CSE 184 - Computational Molecular Biol. (A),WI09,4,8,100.00%,100.00%,11,A- (3.75),N/A
"Kleint, John Timothy",CSE 30 - Computer Organiz&Systms Progrm (A),SU07,4,5,100.00%,100.00%,12.9,B+ (3.40),N/A
"Lo, Yu-Hwa",ECE 135B - Electronic Devices (A),SP08,4,4,100.00%,100.00%,8,B+ (3.50),N/A
"Lau, Silvanus S",ECE 136L - Microelectronics Laboratory (A),FA10,4,4,100.00%,100.00%,11,B (3.25),N/A
"Hildebrand, John A",ECE 145CL - Acoustics Laboratory (A),SP09,4,3,100.00%,100.00%,4.5,B+ (3.33),N/A
"Fullerton, Eric E",ECE 146 - Introductn/Magnetic Recording (A),FA09,4,3,100.00%,100.00%,5.83,B (3.00),N/A
"Wolf, Jack K",ECE 155A - Digital Recording Systems (A),FA09,4,4,75.00%,100.00%,5.5,A- (3.75),N/A
"Wolf, Jack K",ECE 155A - Digital Recording Systems (A),FA07,4,4,100.00%,100.00%,7,A- (3.75),N/A
"Papen, George C.",ECE 157A - Communications Systems Lab I (A),WI08,4,4,100.00%,100.00%,7,A (4.00),N/A
"Loh, Chin Hsiung",MAE 130C - Mechanics III: Vibrations (C),FA18,4,3,100.00%,0.00%,9.83,C+ (2.33),N/A
"Gupta, Rajesh K.",CSE 143 - Microelectronic System Design (A),SP09,5,5,100.00%,100.00%,2.9,A- (3.80),N/A
"Pevzner, Pavel Arkadjevich",CSE 181 - Molecular Sequence Analysis (A),WI12,5,3,100.00%,100.00%,12.5,B (3.00),N/A
"Minnes Kemp, Mor Mia",CSE 191 - Semnr/Computer Sci & Engineer (D),SP15,5,3,100.00%,100.00%,7.17,N/A,N/A
"Lau, Silvanus S",ECE 134 - Electrnc Materls Sci/Integ Cir (A),WI10,5,4,100.00%,100.00%,7.5,A- (3.75),N/A
"Lau, Silvanus S",ECE 136L - Microelectronics Laboratory (A),FA07,5,5,100.00%,100.00%,9.3,B+ (3.67),N/A
"Hildebrand, John A",ECE 145BL - Acoustics Lab (A),WI09,5,3,100.00%,100.00%,8.5,B+ (3.33),N/A
"HAYDEN, MARINA",ECE 1B - MESA Orientation Course (A),WI08,5,5,100.00%,100.00%,0.9,A (4.00),N/A
"Bahadori, Mohammad Yousef",MAE 110B - Thermodynamic Systems (A),S212,5,5,100.00%,100.00%,8.1,B (3.20),N/A
"Kleissl, Jan",MAE 126B - Environmental Enginring Lab II (A),SP08,5,5,100.00%,100.00%,5.7,A- (3.80),N/A
"Llewellyn Smith, Stefan G.",MAE 192 - Sr Sem Aerospace/Envrnmtl/Mech (B),FA08,5,4,100.00%,100.00%,2,N/A,N/A
"Gupta, Rajesh K.",CSE 143 - Microelectronic System Design (A),SP11,6,5,100.00%,100.00%,8.1,B+ (3.40),N/A
"Tullsen, Dean Michael",CSE 148 - Adv Processor Arch Design Proj (A),WI19,6,3,100.00%,100.00%,8.5,B+ (3.33),N/A
"Tullsen, Dean Michael",CSE 148 - Adv Processor Arch Design Proj (A),SP13,6,6,100.00%,100.00%,13.7,B (3.25),N/A
"Belongie, Serge J.",CSE 190 - Topics/Computer Sci & Engineer (A),WI08,6,7,100.00%,100.00%,6.5,A- (3.83),N/A
"Engel, Wolfgang F.",CSE 190 - Topics/Computer Sci & Engineer (C),WI14,6,3,100.00%,66.70%,8.5,B+ (3.67),N/A
"Kastner, Ryan Charles",CSE 30 - Computer Organiz&Systms Progrm (B),WI09,6,6,100.00%,100.00%,5.83,B+ (3.33),N/A
"Swanson, Steven James",CSE 91 - Perspectives in CSE (B),WI17,6,3,100.00%,100.00%,1.17,A (4.00),N/A
"Yip, Michael",ECE 115 - Fast Prototyping (A),WI19,6,5,100.00%,100.00%,10.1,B (3.00),N/A
"Lau, Silvanus S",ECE 134 - Electrnc Materls Sci/Integ Cir (A),WI11,6,5,80.00%,100.00%,6.1,B (3.25),N/A
"Yu, Paul K L",ECE 135A - Semiconductor Physics (A),FA08,6,5,100.00%,100.00%,8.1,B+ (3.40),N/A
"Yu, Edward Tsu-Wei",ECE 135B - Electronic Devices (A),WI09,6,6,100.00%,100.00%,9.83,B (3.20),N/A
"Javidi, Tara",ECE 154C - Communications SystemsIII (A),SP14,6,3,100.00%,100.00%,8.5,B+ (3.33),N/A
"Cruz, Rene L",ECE 158B - Data Networks II (A),WI10,6,3,66.70%,0.00%,0.5,B+ (3.33),N/A
"Wang, Deli",ECE 180 - Topics in ECE (A),SP14,6,3,100.00%,100.00%,3.83,B+ (3.67),N/A
"Ford, Joseph Earl",ECE 181 - Physical Optics&Fourier Optics (A),SP08,6,8,100.00%,100.00%,5.75,B+ (3.50),N/A
"Lomakin, Vitaliy",ECE 182 - Electromagnetic Optcs/GW&FbrOp (A),FA18,6,3,100.00%,100.00%,5.83,A (4.00),N/A
"Lee, Sing H.",ECE 185 - Lasers and Modulators (A),SP08,6,6,83.30%,83.30%,4.83,A- (3.83),N/A
"HAYDEN, MARINA",ECE 1C - MESA Orientation Course (A),SP08,6,5,100.00%,100.00%,0.5,A (4.00),N/A
"Hayden, Marina Calvet",ECE 1C - MESA Orientation Course (A),SP11,6,5,100.00%,100.00%,0.5,A (4.00),N/A
"Lau, Silvanus S",ECE 90 - Undergraduate Seminar (A),SP13,6,4,100.00%,100.00%,1.5,N/A,N/A
"Lau, Silvanus S",ECE 90 - Undergraduate Seminar (A),FA10,6,5,100.00%,100.00%,0.9,A (4.00),N/A
"Lau, Silvanus S",ECE 90 - Undergraduate Seminar (A),SP10,6,5,80.00%,100.00%,0.9,N/A,N/A
"Anderegg, Francois",MAE 117A - Elementary Plasma Physics (A),SP18,6,5,60.00%,100.00%,3.3,B+ (3.60),N/A
"Gibson, Carl H.",MAE 192 - Sr Sem Aerospace/Envrnmtl/Mech (A),SP08,6,5,80.00%,100.00%,1.3,B (3.00),N/A
"Delson, Nathan Joseph",MAE 7 - Spatial Visualization (A),WI18,6,4,100.00%,100.00%,0.5,A (4.00),N/A
"Griswold, William G.",CSE 118 - Ubiquitous Computing (A),FA07,7,5,100.00%,100.00%,8.5,A (4.00),N/A
"Gupta, Rajesh K.",CSE 143 - Microelectronic System Design (A),WI12,7,6,83.30%,100.00%,6.17,A (4.00),N/A
"Tullsen, Dean Michael",CSE 148 - Adv Processor Arch Design Proj (A),SP14,7,5,80.00%,80.00%,14,B+ (3.50),N/A
"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (B),FA07,7,7,100.00%,100.00%,1.07,A (4.00),B+ (3.59)
"Cottrell, Garrison W",CSE 190 - Topics/Computer Sci & Engineer (A),FA08,7,8,87.50%,100.00%,8.25,B+ (3.43),N/A
"Kriegman, David J",CSE 190 - Topics/Computer Sci & Engineer (D),WI11,7,4,100.00%,100.00%,13,B+ (3.33),N/A
"Cottrell, Garrison W",CSE 190 - Topics/Computer Sci & Engineer (G),WI12,7,4,75.00%,75.00%,5,A (4.00),N/A
"Minnes Kemp, Mor Mia",CSE 191 - Semnr/Computer Sci & Engineer (B),WI15,7,4,100.00%,100.00%,10.5,N/A,N/A
"Cottrell, Garrison W",CSE 87 - Freshman Seminar (A),SP09,7,7,100.00%,85.70%,0.5,N/A,N/A
