Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Saad, Andrew S",ECE 100 - Linear Electronic Systems (A),S319,35,34,79.4 %,76.5 %,5.85,B+ (3.32),N/A
"Silberman, Jack",ECE 148 - Intro to Autonomous Vehicles (A),S219,14,10,100.0 %,100.0 %,15.7,A (4.00),N/A
"Abi Samra, Nicholas Camill",ECE 180 - Topics in ECE (A),S219,29,16,100.0 %,100.0 %,4.23,A- (3.80),B+ (3.48)
"Abi Samra, Nicholas Camill",ECE 180 - Topics in ECE (A),S119,30,11,100.0 %,100.0 %,6.14,A- (3.91),B+ (3.53)
"An, Cheolhong",ECE 180 - Topics in ECE (B),S119,16,5,75.0 %,75.0 %,7,A (4.00),N/A
"Baghdadchi, Saharnaz",ECE 101 - Linear Systems Fundamentals (A),SP19,113,99,83.3 %,84.2 %,6.99,B (3.14),B- (2.87)
"Kuzum, Duygu",ECE 103 - Fundamntls/Devices & Materials (A),SP19,53,21,94.7 %,100.0 %,6.82,B (3.26),B- (2.89)
"Fullerton, Eric E",ECE 107 - Electromagnetism (A),SP19,104,34,80.0 %,60.0 %,10.1,B (3.00),B- (2.80)
"Zeger, Kenneth A.",ECE 109 - Engineering Probability&Stats (A),SP19,163,54,57.4 %,76.6 %,7.39,C+ (2.67),C+ (2.61)
"Yip, Michael",ECE 115 - Fast Prototyping (A),SP19,13,10,100.0 %,100.0 %,10.94,A- (3.80),N/A
"Quest, Kevin B",ECE 120 - Solar System Physics (A),SP19,59,19,94.4 %,94.4 %,3.94,B+ (3.39),B+ (3.36)
"Sievenpiper, Daniel F.",ECE 123 - Antenna Systems Engineering (A),SP19,37,15,100.0 %,100.0 %,6.81,A- (3.75),B (3.16)
"Esmaili, Gholamreza",ECE 124 - Motor Drives (A),SP19,18,6,100.0 %,100.0 %,13.17,B+ (3.50),N/A
"Esmaili, Gholamreza",ECE 125B - Intro to Power Electronics II (A),SP19,26,10,100.0 %,100.0 %,9.83,B (3.22),B (3.22)
"Taur, Yuan",ECE 135B - Electronic Devices (A),SP19,13,6,66.7 %,83.3 %,4.17,B (3.00),N/A
"Tanaka, Atsunori",ECE 136L - Microelectronics Laboratory (A),SP19,13,6,100.0 %,100.0 %,8.5,B (3.00),N/A
"Gessner, Richard K.",ECE 140B - The Art of Product Eng II (A),SP19,39,27,66.7 %,80.8 %,9.17,B+ (3.44),B+ (3.52)
"Khoshabeh, Ramsin",ECE 140B - The Art of Product Eng II (A),SP19,39,27,66.7 %,92.3 %,9.17,B+ (3.44),B+ (3.52)
"Gessner, Richard K.",ECE 141B - Software Foundations II (A),SP19,48,19,94.4 %,100.0 %,10.61,A- (3.73),B+ (3.49)
"Unpingco, Jose H.",ECE 143 - Programming for Data Analysis (A),SP19,100,58,100.0 %,100.0 %,6.46,A- (3.89),A- (3.80)
"Phan, Alex Minh Giang",ECE 144 - LabVIEW Programming (A),SP19,29,18,94.1 %,100.0 %,12.77,B+ (3.60),B+ (3.69)
"Hildebrand, John A",ECE 145CL - Acoustics Laboratory (A),SP19,12,4,100.0 %,100.0 %,5.83,A (4.00),N/A
"de Oliveira, Mauricio",ECE 148 - Intro to Autonomous Vehicles (B),SP19,9,7,100.0 %,83.3 %,7.64,A- (3.86),N/A
"Silberman, Jack",ECE 148 - Intro to Autonomous Vehicles (B),SP19,9,7,100.0 %,100.0 %,7.64,A- (3.86),N/A
"Schurgers, Curt",ECE 15 - Engineering Computation (A),SP19,99,78,91.0 %,97.4 %,8.99,B (3.15),B- (2.89)
"Pal, Piya",ECE 153 - Probability&Random Process/Eng (A),SP19,36,28,88.9 %,96.3 %,7.98,B (3.11),B (3.26)
"Fazeli Chaghooshi, Arman",ECE 154C - Communications SystemsIII (A),SP19,7,5,100.0 %,100.0 %,8.9,A (4.00),N/A
