,Department,Course Number,Instructor,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,BENG,BENG 100 ,"Abbasi, Shaghayegh",S119,30,9,66.7,100.0,7.39,3.11,2.7
1,BENG,BENG 100 ,"Alexandrov, Ludmil B",SP18,163,74,76.4,90.1,7.2,3.18,2.91
2,BENG,BENG 100 ,"Alexandrov, Ludmil B",SP19,174,80,60.0,80.0,7.38,3.14,2.87
3,BENG,BENG 100 ,"Coleman, Todd Prentice",SP13,152,61,70.7,74.1,9.69,3.04,3.25
4,BENG,BENG 100 ,"Coleman, Todd Prentice",SP14,137,42,70.7,82.9,9.47,3.1,3.06
5,BENG,BENG 100 ,"Coleman, Todd Prentice",SP15,146,62,53.4,67.2,10.95,3.14,3.08
6,BENG,BENG 100 ,"Coleman, Todd Prentice",SP16,154,51,56.3,56.3,9.33,3.0,2.63
7,BENG,BENG 100 ,"Coleman, Todd Prentice",SP17,150,53,65.4,78.8,8.81,3.08,2.9
8,BENG,BENG 100 ,"Micou, Melissa Kurtis",SP08,161,73,82.1,77.6,4.5,3.66,2.9
9,BENG,BENG 100 ,"Micou, Melissa Kurtis",SP09,156,100,75.3,68.5,6.37,3.41,3.14
10,BENG,BENG 100 ,"Micou, Melissa Kurtis",SP10,185,167,79.5,77.0,6.37,3.35,2.9
11,BENG,BENG 100 ,"Micou, Melissa Kurtis",SP11,196,83,73.5,71.1,5.17,3.29,3.15
12,BENG,BENG 100 ,"Micou, Melissa Kurtis",SP12,119,58,86.2,79.3,5.09,3.55,3.16
13,BENG,BENG 100 ,"Watson, John Thomas",SP08,161,61,78.9,62.1,4.3,3.66,2.9
14,BENG,BENG 100 ,"Watson, John Thomas",SP09,156,94,82.8,78.2,5.98,3.41,3.14
15,BENG,BENG 100 ,"Watson, John Thomas",SP10,185,156,80.8,78.1,5.83,3.35,2.9
16,BENG,BENG 100 ,"Watson, John Thomas",SP11,196,70,80.9,69.1,5.05,3.29,3.15
17,BENG,BENG 101 ,"Hall, David J",FA07,52,43,80.0,61.5,4.4,3.64,3.31
