Course Number ,Major
ECE 100 ,sip
ECE 101 ,sip
ECE 102 ,ecs
ECE 103 ,mat
ECE 107 ,ecs
ECE 108 ,sip
ECE 109 ,sip
ECE 111 ,ecs
ECE 115 ,ecs
ECE 118 ,sm
ECE 120 ,ener
ECE 121 ,ener
ECE 121A ,ener
ECE 121B ,ener
ECE 123 ,ecs
ECE 125A ,ener
ECE 125B ,ener
ECE 134 ,ecs
ECE 135A ,mat
ECE 135B ,mat
ECE 136L ,ecs
ECE 140A ,mat
ECE 140B ,mat
ECE 141A ,sm
ECE 141B ,sm
ECE 143 ,sm
ECE 144 ,sm
ECE 145BL ,sip
ECE 145CL ,sip
ECE 15 ,ecs
ECE 153 ,sip
ECE 154A ,sip
ECE 154B ,sip
ECE 154C ,ecs
ECE 156 ,sip
ECE 158A ,sip
ECE 158B ,sip
ECE 159A ,sip
ECE 16 ,ecs
ECE 161A ,sip
ECE 161B ,sip
ECE 161C ,sip
ECE 163 ,ecs
ECE 164 ,ecs
ECE 165 ,ecs
ECE 166 ,ecs
ECE 17 ,sm
ECE 171A ,sm
ECE 171B ,sm
ECE 172A ,sm
ECE 173 ,sm
ECE 174 ,sm
ECE 175 ,sm
ECE 175A ,sm
ECE 175B ,sm
ECE 180 ,ecs
ECE 181 ,op
ECE 182 ,op
ECE 183 ,op
ECE 187 ,op
ECE 188 ,ecs
ECE 191 ,sip
ECE 25 ,ecs
ECE 30 ,ecs
ECE 35 ,ecs
ECE 45 ,ecs
ECE 5 ,ecs
ECE 53 ,ecs
ECE 53A ,ecs
ECE 65 ,ecs
ECE 80 ,sm
ECE 85 ,sm
